x,y,z,intensity,semantic_class
10.424,2.086,-0.021,0.308,0
2.607,1.063,0.011,0.412,0
-16.229,6.144,0.008,0.525,0
-1.802,-0.596,-0.028,0.423,0
19.538,5.587,0.016,0.537,0
16.923,4.749,-0.003,0.458,0
2.495,-0.586,0.037,0.584,0
-10.593,0.816,-0.029,0.685,0
3.559,-2.505,-0.012,0.647,0
0.508,4.328,0.023,0.696,0
18.799,1.458,0.003,0.644,0
-19.398,2.688,-0.006,0.527,0
-7.546,2.448,0.009,0.348,0
-3.874,-3.002,-0.053,0.568,0
9.212,5.317,0.005,0.668,0
9.968,3.486,-0.009,0.554,0
9.368,-5.125,-0.035,0.502,0
2.755,2.076,0.012,0.342,0
2.067,3.525,-0.008,0.556,0
-8.390,-3.701,0.025,0.423,0
14.755,-6.663,0.010,0.671,0
-2.925,-7.933,0.001,0.589,0
-5.699,3.809,0.001,0.404,0
11.805,5.077,0.021,0.605,0
8.990,3.588,-0.034,0.571,0
-7.258,-6.189,0.031,0.327,0
-19.052,2.223,0.014,0.330,0
-19.665,0.610,0.034,0.387,0
14.033,5.412,-0.007,0.371,0
-13.958,-2.565,-0.008,0.693,0
4.098,-7.887,-0.019,0.578,0
3.629,-3.539,0.016,0.646,0
-10.986,5.811,-0.016,0.414,0
-2.177,3.972,0.015,0.539,0
-3.239,0.215,0.007,0.623,0
0.108,5.826,-0.006,0.634,0
14.281,-4.868,-0.001,0.469,0
16.639,-0.270,0.017,0.328,0
-16.537,-7.376,-0.003,0.660,0
-2.837,0.623,0.013,0.502,0
-8.219,6.550,-0.042,0.630,0
11.514,-4.534,-0.021,0.678,0
-6.166,-0.797,-0.011,0.347,0
-0.596,-2.703,0.020,0.395,0
8.263,5.410,-0.011,0.639,0
5.409,3.140,0.012,0.533,0
9.737,-0.284,-0.011,0.657,0
-2.763,-5.775,-0.021,0.534,0
1.653,0.761,-0.006,0.641,0
-9.114,-2.099,-0.005,0.411,0
11.084,-2.830,0.014,0.356,0
14.652,-3.951,0.016,0.656,0
-7.915,-4.323,0.018,0.380,0
-0.090,1.922,0.028,0.397,0
-15.816,0.284,0.003,0.510,0
-15.531,-3.208,-0.028,0.328,0
-14.215,6.025,-0.023,0.552,0
5.196,-4.436,-0.006,0.338,0
11.451,0.274,0.025,0.515,0
-14.832,5.482,-0.019,0.629,0
19.897,1.237,-0.023,0.326,0
-5.845,7.658,0.008,0.579,0
15.734,7.849,-0.011,0.617,0
19.984,-6.818,0.021,0.306,0
13.642,-4.398,-0.009,0.687,0
-4.786,-2.663,-0.004,0.426,0
-19.033,-1.917,-0.001,0.518,0
0.319,7.979,-0.003,0.696,0
-0.482,-3.762,-0.014,0.697,0
-19.859,-3.930,-0.019,0.497,0
14.746,5.157,0.011,0.576,0
-14.153,3.301,-0.006,0.693,0
5.080,0.060,-0.002,0.434,0
-9.499,6.625,-0.028,0.335,0
-3.428,-6.979,-0.001,0.648,0
-1.205,4.018,0.008,0.301,0
3.507,0.226,0.014,0.635,0
0.781,-6.923,0.038,0.666,0
-5.422,4.761,-0.008,0.392,0
-18.382,6.631,-0.001,0.580,0
-14.936,-6.973,-0.023,0.627,0
4.960,2.679,-0.031,0.471,0
4.241,-6.185,0.018,0.551,0
6.731,-5.967,-0.028,0.404,0
-16.785,0.553,0.005,0.364,0
-10.008,-7.760,0.016,0.301,0
-10.605,-6.621,0.035,0.534,0
12.585,3.204,0.018,0.348,0
10.392,-2.079,0.022,0.626,0
10.066,7.156,0.015,0.505,0
18.876,2.730,0.022,0.616,0
16.634,0.963,-0.013,0.399,0
5.763,-4.571,0.045,0.337,0
0.354,-5.866,-0.011,0.536,0
12.706,2.050,-0.012,0.662,0
1.987,0.253,0.028,0.465,0
10.705,6.747,0.048,0.561,0
-12.793,-3.354,0.018,0.502,0
0.520,2.016,0.018,0.558,0
-0.656,-0.356,-0.011,0.620,0
-0.614,-5.181,-0.005,0.324,0
0.780,7.802,-0.019,0.599,0
4.560,-2.079,-0.015,0.657,0
4.217,-4.115,0.036,0.613,0
18.103,-3.612,-0.027,0.680,0
-11.218,1.917,0.019,0.450,0
-14.243,-0.878,0.024,0.481,0
9.177,4.840,-0.003,0.597,0
-10.261,-3.395,0.005,0.377,0
-8.780,-0.543,-0.071,0.390,0
-12.823,3.703,0.004,0.478,0
-0.899,-6.837,-0.018,0.518,0
-3.620,2.152,-0.045,0.585,0
19.007,-5.256,0.009,0.426,0
7.007,5.489,-0.017,0.494,0
3.395,-2.277,-0.003,0.426,0
3.094,0.979,-0.001,0.435,0
-8.600,-1.262,0.013,0.312,0
15.487,7.571,-0.005,0.623,0
-15.346,0.585,-0.007,0.561,0
9.422,-7.097,-0.009,0.546,0
-15.039,1.411,-0.004,0.481,0
-0.064,0.708,0.018,0.566,0
-11.344,0.991,0.017,0.391,0
2.153,-0.485,-0.010,0.462,0
-12.150,4.295,-0.001,0.325,0
0.115,-6.592,-0.005,0.316,0
-18.756,-0.183,-0.023,0.303,0
-10.129,2.802,0.043,0.476,0
9.416,3.407,-0.015,0.683,0
0.788,-5.577,0.012,0.344,0
-0.195,2.316,0.002,0.578,0
5.460,-2.769,0.020,0.337,0
1.010,4.774,-0.047,0.586,0
-9.477,-4.887,0.015,0.683,0
15.599,7.765,0.011,0.554,0
-7.474,3.905,-0.053,0.350,0
-19.271,-3.926,0.006,0.659,0
-12.420,2.230,0.013,0.438,0
-3.637,-4.865,-0.024,0.417,0
-19.610,-0.618,-0.010,0.334,0
1.828,-2.503,-0.005,0.502,0
18.131,2.190,-0.016,0.440,0
2.388,5.325,-0.007,0.632,0
-11.717,-4.674,0.036,0.309,0
-17.433,-1.084,0.012,0.410,0
1.623,-1.882,0.005,0.651,0
7.418,6.106,0.018,0.441,0
5.662,0.002,-0.016,0.613,0
2.699,-3.597,-0.029,0.667,0
-5.284,7.962,-0.007,0.524,0
-4.466,-1.549,0.004,0.603,0
14.496,-4.577,0.005,0.553,0
-18.066,5.326,-0.009,0.468,0
-8.047,-1.295,-0.036,0.316,0
-8.510,0.728,0.008,0.341,0
19.255,-5.453,-0.018,0.551,0
0.071,-2.068,-0.015,0.441,0
-12.751,1.678,0.016,0.414,0
13.918,-5.144,-0.000,0.665,0
-5.050,1.917,0.032,0.557,0
-4.598,5.649,-0.003,0.633,0
-6.514,-1.920,-0.002,0.333,0
-13.990,-4.624,-0.005,0.383,0
-2.135,-7.244,0.001,0.420,0
1.968,-5.527,-0.007,0.581,0
-1.887,4.730,-0.002,0.623,0
-4.747,-3.564,-0.008,0.504,0
-10.812,-6.549,0.009,0.599,0
14.348,4.331,0.016,0.552,0
14.521,4.409,-0.009,0.474,0
2.509,-1.642,-0.008,0.676,0
8.407,-2.860,0.011,0.696,0
16.439,-7.591,0.033,0.558,0
-13.582,-0.372,-0.014,0.342,0
-14.906,-7.237,-0.003,0.525,0
-12.066,7.853,0.007,0.576,0
3.655,-3.475,0.051,0.549,0
-17.066,5.924,-0.019,0.478,0
9.353,4.552,0.042,0.487,0
-18.004,-2.439,0.021,0.601,0
-18.974,5.605,0.006,0.670,0
18.652,0.455,-0.036,0.351,0
-5.869,6.306,-0.015,0.544,0
2.375,4.717,-0.004,0.544,0
-0.683,-4.501,0.020,0.350,0
5.888,6.744,-0.006,0.308,0
17.687,-2.502,0.013,0.377,0
2.284,3.346,0.004,0.630,0
-7.094,-3.584,-0.009,0.580,0
-18.381,-2.358,0.009,0.627,0
5.794,-7.715,0.011,0.502,0
-3.179,0.531,-0.017,0.401,0
18.215,-3.803,0.003,0.695,0
3.408,-6.506,0.039,0.699,0
5.362,-7.558,0.021,0.411,0
5.655,-3.550,0.039,0.423,0
1.720,2.866,0.002,0.694,0
-4.480,5.161,-0.010,0.665,0
-1.559,1.273,-0.017,0.403,0
7.315,-4.563,-0.011,0.641,0
-10.446,-7.972,0.052,0.696,0
-12.698,1.124,-0.026,0.630,0
15.970,-1.344,-0.026,0.327,0
7.312,-0.803,-0.035,0.489,0
14.852,5.515,-0.000,0.626,0
-5.307,-7.170,-0.000,0.308,0
3.035,-5.474,-0.004,0.590,0
4.172,1.910,0.007,0.531,0
15.785,-7.969,0.001,0.525,0
15.097,-0.264,-0.024,0.519,0
-9.589,-6.070,-0.005,0.515,0
18.742,3.651,0.027,0.483,0
-5.111,-5.815,-0.015,0.317,0
4.387,4.986,0.016,0.611,0
19.729,1.184,-0.006,0.366,0
-3.713,6.343,0.015,0.483,0
5.675,-5.827,0.003,0.646,0
19.532,-3.933,-0.008,0.418,0
5.172,0.902,-0.006,0.537,0
6.305,-4.614,0.005,0.538,0
11.526,-0.414,0.007,0.666,0
11.516,-4.005,0.022,0.318,0
17.921,-1.336,-0.034,0.531,0
5.957,2.736,-0.000,0.528,0
-9.957,0.004,-0.001,0.367,0
-17.553,6.519,0.001,0.435,0
-16.811,2.643,-0.020,0.514,0
18.492,-2.956,-0.020,0.448,0
12.932,4.031,0.009,0.520,0
3.735,-3.412,0.004,0.657,0
15.999,7.626,0.020,0.573,0
14.805,-6.636,-0.049,0.394,0
-5.617,-1.029,0.025,0.435,0
12.378,-3.520,0.003,0.452,0
-12.038,2.296,0.013,0.409,0
19.354,5.389,0.025,0.613,0
-7.355,7.427,0.019,0.549,0
-8.816,-1.162,-0.005,0.409,0
-12.707,1.926,-0.006,0.643,0
2.214,6.873,0.008,0.496,0
16.054,0.621,0.005,0.518,0
2.171,-5.993,0.022,0.350,0
-18.441,4.629,-0.050,0.408,0
-17.866,7.858,0.004,0.681,0
0.731,-7.987,0.033,0.510,0
15.598,1.206,0.016,0.686,0
3.334,4.873,0.005,0.585,0
9.857,2.823,0.021,0.605,0
13.469,5.494,-0.023,0.622,0
-14.739,2.924,0.001,0.318,0
-2.842,-3.257,0.012,0.428,0
-19.847,-0.315,0.026,0.602,0
-3.247,6.331,-0.003,0.586,0
14.338,-5.365,-0.007,0.697,0
11.499,-6.586,-0.007,0.607,0
-6.620,-3.948,0.002,0.658,0
8.515,3.552,-0.019,0.424,0
8.502,-7.102,0.009,0.465,0
-0.343,4.486,0.015,0.543,0
-15.845,7.469,0.025,0.624,0
17.047,-4.196,0.032,0.518,0
2.903,5.295,-0.025,0.564,0
-12.864,1.019,0.017,0.572,0
6.957,-3.864,-0.019,0.420,0
10.842,3.609,-0.016,0.557,0
-15.542,-3.270,0.013,0.520,0
-3.000,5.818,-0.003,0.514,0
17.986,-0.784,0.030,0.301,0
3.495,2.588,-0.006,0.534,0
11.393,4.643,0.021,0.634,0
-13.942,-4.718,0.011,0.596,0
-9.316,-7.294,0.029,0.669,0
18.525,1.786,0.005,0.528,0
-16.769,-1.407,0.004,0.563,0
15.764,-6.329,-0.019,0.339,0
-17.458,-4.417,-0.009,0.673,0
3.777,2.089,-0.005,0.599,0
-19.448,0.183,-0.033,0.406,0
16.093,-5.593,-0.007,0.322,0
1.388,-0.079,-0.016,0.527,0
1.494,4.507,-0.001,0.301,0
-4.460,5.093,-0.006,0.327,0
7.891,7.867,0.043,0.361,0
6.686,-3.499,-0.022,0.493,0
4.067,-3.049,-0.027,0.545,0
-1.539,1.721,-0.031,0.519,0
-12.420,-5.750,-0.004,0.655,0
3.180,-0.316,0.014,0.669,0
17.562,-3.551,0.008,0.531,0
-8.037,0.767,0.007,0.462,0
-1.581,4.968,0.050,0.596,0
-17.697,2.844,0.032,0.308,0
-16.588,4.502,0.033,0.676,0
-12.022,-0.239,0.005,0.557,0
5.207,4.163,0.008,0.315,0
-9.102,4.209,0.032,0.635,0
17.993,0.101,-0.009,0.344,0
-3.352,-2.466,0.009,0.629,0
4.969,-1.774,-0.039,0.670,0
2.620,-0.461,-0.032,0.651,0
-0.119,3.145,-0.006,0.439,0
-4.013,1.632,0.019,0.440,0
-2.154,4.102,-0.025,0.553,0
19.841,7.757,0.014,0.660,0
-16.317,1.363,0.010,0.584,0
18.646,7.544,-0.018,0.337,0
-9.863,5.742,-0.001,0.501,0
11.922,4.201,0.025,0.378,0
-10.763,5.053,0.037,0.530,0
-4.342,-6.773,0.012,0.404,0
8.501,-4.417,0.018,0.472,0
16.980,4.201,-0.039,0.546,0
-2.548,1.590,-0.001,0.372,0
4.386,-4.778,-0.012,0.641,0
-6.102,4.031,0.005,0.418,0
-11.622,-1.049,0.017,0.631,0
17.614,-3.159,-0.022,0.356,0
17.562,7.393,0.019,0.585,0
19.041,2.760,-0.020,0.618,0
19.129,-5.181,-0.040,0.328,0
16.117,-4.514,0.018,0.515,0
2.428,4.170,0.031,0.653,0
-7.632,-7.647,0.027,0.501,0
-4.337,5.172,-0.011,0.353,0
-8.295,-7.755,0.010,0.402,0
-7.295,-1.054,-0.028,0.362,0
10.654,5.726,0.003,0.308,0
17.591,-1.104,0.029,0.423,0
2.799,-1.031,0.040,0.392,0
8.530,-0.812,-0.026,0.593,0
-9.037,-3.463,-0.003,0.550,0
15.801,3.785,0.003,0.380,0
1.224,-3.870,0.008,0.566,0
6.490,4.304,0.018,0.354,0
14.561,6.724,-0.016,0.323,0
-7.351,-6.974,0.006,0.529,0
-12.476,-7.799,-0.019,0.363,0
2.286,3.991,0.042,0.644,0
12.702,4.192,-0.036,0.439,0
14.332,-4.254,-0.043,0.456,0
-17.994,-2.723,-0.027,0.379,0
11.704,-4.579,-0.010,0.660,0
-8.990,-5.428,0.003,0.524,0
-15.755,-3.044,0.010,0.551,0
-8.126,-6.804,0.001,0.401,0
-15.131,-1.207,0.008,0.472,0
-5.064,4.259,0.007,0.421,0
-0.606,3.166,-0.039,0.580,0
16.915,-2.699,-0.023,0.332,0
14.996,-2.489,0.003,0.674,0
10.090,6.558,-0.016,0.383,0
-16.084,2.694,-0.009,0.417,0
-1.989,-2.955,-0.001,0.605,0
-6.771,-2.741,0.015,0.360,0
19.116,-6.479,0.021,0.316,0
16.591,-1.699,0.019,0.383,0
16.555,-5.994,-0.003,0.560,0
13.535,-5.901,0.057,0.335,0
9.972,-6.408,0.007,0.675,0
8.430,-5.463,-0.001,0.614,0
1.078,-2.635,-0.009,0.675,0
3.291,-5.852,0.016,0.405,0
-0.790,-1.223,0.018,0.475,0
0.237,0.312,0.002,0.486,0
-13.558,1.456,-0.006,0.398,0
-10.271,-7.196,-0.010,0.671,0
-10.633,-6.761,0.019,0.656,0
-6.363,-1.154,0.042,0.588,0
-1.333,-6.437,-0.012,0.619,0
-2.268,-6.902,-0.025,0.537,0
16.659,7.961,-0.017,0.588,0
-13.438,-3.102,0.017,0.690,0
-2.689,-5.486,-0.015,0.357,0
-9.985,3.949,0.004,0.370,0
18.773,-0.708,0.026,0.617,0
0.235,7.340,-0.019,0.305,0
3.903,-5.568,-0.002,0.334,0
18.441,-5.067,-0.001,0.601,0
7.529,6.447,0.011,0.394,0
0.485,7.697,0.014,0.608,0
-5.401,7.298,-0.034,0.464,0
10.978,7.445,0.016,0.511,0
-3.640,-7.928,-0.010,0.643,0
10.278,4.015,-0.026,0.461,0
-11.979,-6.901,0.001,0.526,0
-19.052,-1.253,0.002,0.530,0
-7.405,-0.663,0.020,0.501,0
8.751,-3.546,-0.015,0.384,0
19.736,2.611,0.024,0.691,0
-11.818,-4.398,0.010,0.328,0
12.536,0.420,-0.010,0.674,0
4.096,-2.412,0.005,0.423,0
-1.103,1.860,0.013,0.347,0
16.621,1.006,0.017,0.443,0
1.979,-5.771,0.001,0.666,0
2.144,1.156,0.002,0.560,0
-18.482,-5.421,0.023,0.595,0
4.942,-1.347,0.009,0.355,0
11.052,1.954,-0.018,0.594,0
3.337,4.746,-0.020,0.322,0
12.259,4.325,0.009,0.590,0
3.547,6.405,0.008,0.669,0
8.049,2.989,-0.007,0.411,0
-8.726,-3.081,0.010,0.598,0
-13.919,-1.182,0.012,0.302,0
2.606,-1.178,-0.020,0.593,0
9.312,-1.987,0.036,0.634,0
1.927,-0.864,-0.009,0.324,0
-12.896,4.173,0.008,0.531,0
12.272,0.380,-0.030,0.372,0
-12.959,7.957,-0.028,0.577,0
-3.397,5.847,-0.018,0.422,0
14.443,1.107,-0.030,0.487,0
-11.849,-4.741,-0.018,0.519,0
-7.865,-1.809,-0.000,0.402,0
18.251,-5.747,-0.008,0.605,0
-0.123,-4.472,0.010,0.305,0
-9.474,4.447,0.011,0.328,0
-19.781,6.819,-0.009,0.404,0
0.288,3.397,-0.020,0.452,0
14.712,-6.347,0.014,0.535,0
-9.773,0.510,-0.021,0.533,0
4.239,5.941,0.004,0.418,0
-18.098,-5.055,0.003,0.635,0
-19.875,-4.027,0.015,0.433,0
2.194,6.856,-0.029,0.482,0
-15.577,4.980,0.020,0.366,0
19.093,5.070,0.018,0.380,0
5.788,0.366,0.005,0.608,0
-0.307,1.638,0.000,0.421,0
-2.463,6.063,0.016,0.366,0
-16.016,3.420,-0.046,0.550,0
8.822,-1.770,0.023,0.380,0
18.661,0.772,-0.007,0.542,0
2.289,6.463,0.008,0.575,0
2.670,3.319,-0.032,0.535,0
-11.998,0.421,-0.009,0.514,0
-11.935,-5.978,0.005,0.700,0
-19.210,-6.101,-0.035,0.358,0
8.351,-7.167,0.027,0.363,0
11.333,-6.502,0.017,0.638,0
4.215,-2.090,0.027,0.309,0
-16.464,-0.784,0.013,0.313,0
-16.302,-6.497,0.008,0.485,0
-6.495,-4.311,-0.008,0.442,0
6.879,-0.764,0.004,0.353,0
12.444,5.733,0.001,0.512,0
5.925,3.860,0.031,0.590,0
-16.574,7.407,-0.020,0.426,0
-3.363,1.073,-0.000,0.609,0
-15.471,-3.085,-0.001,0.524,0
-4.607,4.522,0.002,0.592,0
15.936,3.143,-0.013,0.386,0
13.133,3.269,0.011,0.490,0
5.279,0.847,0.010,0.414,0
-11.567,-6.423,-0.022,0.313,0
-15.919,-4.148,-0.033,0.364,0
13.957,7.321,0.013,0.387,0
0.100,-5.479,-0.021,0.377,0
-16.705,-0.718,0.006,0.476,0
15.128,-6.666,-0.005,0.534,0
1.744,0.800,0.004,0.667,0
17.449,-0.582,-0.020,0.333,0
-18.509,-3.658,-0.018,0.389,0
-10.644,-0.858,0.015,0.466,0
-6.707,-4.320,-0.049,0.524,0
-15.334,-4.215,0.019,0.665,0
-12.810,7.612,0.012,0.680,0
2.014,4.776,0.016,0.325,0
-7.403,-4.356,-0.015,0.585,0
-1.348,-7.123,-0.013,0.482,0
-15.238,-5.410,-0.016,0.319,0
18.693,-7.551,-0.003,0.667,0
0.688,-5.009,0.023,0.519,0
-6.823,-3.059,0.018,0.688,0
0.278,4.032,0.015,0.467,0
7.099,1.139,-0.024,0.320,0
-2.427,-6.570,0.034,0.320,0
1.465,6.853,-0.027,0.605,0
0.325,3.582,0.015,0.588,0
6.437,0.221,0.009,0.411,0
-8.736,1.224,-0.025,0.323,0
10.697,2.005,-0.019,0.343,0
-2.497,1.687,-0.019,0.312,0
14.130,5.732,-0.022,0.321,0
-5.581,3.273,0.005,0.373,0
-12.034,3.098,0.019,0.523,0
-9.053,2.519,-0.019,0.643,0
-16.656,3.472,0.006,0.318,0
6.067,-4.585,-0.011,0.556,0
-10.398,4.081,0.054,0.531,0
-4.018,-0.998,0.025,0.492,0
-8.228,3.413,0.017,0.349,0
-9.635,7.883,0.015,0.469,0
16.843,6.333,0.016,0.320,0
19.098,6.362,-0.018,0.419,0
10.379,0.118,0.015,0.691,0
16.689,-6.132,-0.034,0.385,0
-11.010,-6.612,-0.025,0.518,0
-19.642,7.503,0.004,0.462,0
-6.694,1.405,0.007,0.540,0
-12.593,0.518,-0.004,0.382,0
-13.737,2.674,0.020,0.473,0
19.466,-0.815,-0.011,0.381,0
-12.678,1.153,0.026,0.452,0
-5.580,4.255,0.008,0.322,0
-18.610,2.648,0.007,0.330,0
8.011,-4.821,-0.014,0.419,0
-0.488,3.872,-0.025,0.307,0
-14.954,5.259,0.015,0.361,0
-9.246,-0.618,-0.009,0.691,0
-17.806,-1.191,-0.043,0.617,0
19.068,-0.274,0.008,0.614,0
-7.750,-4.462,-0.009,0.326,0
-17.483,1.817,-0.001,0.670,0
14.856,7.148,-0.003,0.609,0
1.869,-0.608,-0.040,0.380,0
2.812,0.807,0.001,0.412,0
-4.660,-4.054,0.019,0.536,0
6.407,0.427,-0.010,0.445,0
-7.859,-6.778,0.021,0.352,0
3.689,0.007,0.000,0.550,0
-10.067,-5.711,0.005,0.354,0
-2.997,-6.444,0.008,0.433,0
-10.443,-0.558,-0.008,0.665,0
16.859,7.736,0.045,0.669,0
-0.520,-1.143,0.011,0.315,0
3.944,-6.990,-0.010,0.515,0
4.119,-7.179,0.013,0.423,0
15.261,5.399,0.007,0.320,0
0.080,4.214,0.002,0.524,0
18.223,4.295,0.002,0.514,0
12.122,-7.119,0.013,0.310,0
15.579,7.492,-0.025,0.588,0
3.450,-4.083,-0.014,0.473,0
-8.056,0.189,-0.025,0.699,0
-13.172,-6.443,-0.026,0.379,0
7.059,-7.309,-0.049,0.506,0
-18.125,4.655,-0.005,0.624,0
3.271,-5.926,-0.009,0.434,0
-2.785,3.619,-0.022,0.360,0
-12.201,-7.628,-0.007,0.576,0
14.980,-7.336,0.031,0.651,0
-8.958,0.642,0.017,0.570,0
-15.525,5.408,-0.044,0.623,0
-9.054,6.572,-0.006,0.501,0
-1.931,7.917,0.023,0.502,0
2.598,-7.310,0.001,0.478,0
17.995,6.337,0.005,0.672,0
-5.702,7.549,0.004,0.344,0
12.850,7.539,-0.020,0.355,0
11.314,5.637,0.013,0.464,0
-7.397,2.942,0.020,0.457,0
6.296,-4.906,-0.010,0.698,0
7.000,2.548,0.005,0.490,0
-12.089,1.301,-0.012,0.570,0
17.335,7.521,0.009,0.637,0
-17.453,4.239,0.030,0.316,0
-17.528,4.138,0.024,0.495,0
2.143,-2.486,-0.033,0.566,0
-7.469,-4.887,-0.014,0.355,0
2.113,2.972,-0.010,0.535,0
-8.138,4.560,0.016,0.679,0
15.467,6.906,-0.001,0.526,0
-1.820,6.058,0.001,0.566,0
-15.486,-5.232,-0.022,0.499,0
-9.076,-3.532,0.028,0.355,0
-13.577,-5.907,0.009,0.374,0
19.554,-2.490,-0.035,0.327,0
10.592,-3.812,0.026,0.656,0
-10.450,3.917,-0.020,0.412,0
-11.739,-7.971,0.008,0.337,0
8.390,-6.071,-0.013,0.335,0
11.344,-3.331,-0.007,0.326,0
-0.067,6.837,0.031,0.512,0
16.905,-2.856,-0.003,0.309,0
-2.677,0.497,-0.002,0.462,0
3.867,4.275,-0.001,0.542,0
-17.512,-1.362,0.006,0.388,0
1.603,3.095,0.023,0.537,0
-10.843,5.565,0.019,0.616,0
-15.128,1.582,0.009,0.454,0
-5.517,-5.687,0.023,0.491,0
3.853,6.763,0.003,0.402,0
13.832,-0.272,0.018,0.579,0
-6.675,-0.441,0.018,0.527,0
0.626,-1.515,0.008,0.401,0
6.714,-4.814,0.006,0.590,0
-19.569,-2.982,0.016,0.362,0
2.600,3.682,-0.001,0.488,0
4.132,2.318,0.036,0.507,0
-15.158,-7.700,0.008,0.514,0
-2.169,-7.191,0.017,0.359,0
-2.372,-7.753,-0.026,0.436,0
9.827,-4.303,0.016,0.665,0
-7.395,0.311,0.012,0.404,0
-5.460,3.104,0.012,0.447,0
-17.583,-5.821,0.038,0.445,0
-10.123,7.609,0.009,0.427,0
6.169,-7.174,0.013,0.347,0
-7.386,4.743,0.009,0.493,0
3.759,5.755,0.019,0.310,0
-5.535,-0.386,-0.017,0.546,0
3.581,4.606,-0.028,0.422,0
6.057,5.980,0.004,0.676,0
-3.794,7.230,0.025,0.447,0
15.419,1.564,-0.022,0.411,0
-19.762,-2.044,0.009,0.620,0
-14.803,-7.883,0.000,0.384,0
2.187,7.525,-0.035,0.685,0
-13.657,-4.307,0.005,0.312,0
-8.091,4.402,-0.013,0.411,0
-10.433,1.974,-0.030,0.594,0
12.526,7.426,0.038,0.303,0
-9.743,-0.636,-0.004,0.474,0
-1.780,-0.817,0.021,0.674,0
14.671,-5.668,-0.012,0.533,0
-1.034,-5.286,0.023,0.479,0
15.193,6.836,-0.001,0.561,0
4.536,0.441,0.008,0.427,0
12.225,-7.957,0.014,0.466,0
-4.401,0.446,-0.007,0.495,0
1.965,6.713,-0.019,0.357,0
-19.246,3.839,0.007,0.374,0
7.146,-0.532,-0.014,0.689,0
-19.155,1.878,-0.009,0.314,0
9.891,6.727,0.012,0.378,0
19.725,-2.756,0.003,0.598,0
18.277,-3.756,-0.011,0.437,0
5.156,2.718,-0.015,0.696,0
11.393,-5.125,-0.000,0.312,0
-10.744,-3.818,0.057,0.459,0
-1.523,0.759,-0.024,0.317,0
9.606,-4.207,-0.004,0.524,0
-14.768,-5.433,-0.007,0.342,0
-8.407,-0.868,0.004,0.541,0
-13.097,-7.025,0.009,0.572,0
-9.660,6.061,-0.004,0.457,0
-15.530,4.375,-0.006,0.469,0
-11.780,-3.331,0.027,0.613,0
4.849,-0.994,-0.003,0.364,0
18.294,-2.728,0.007,0.688,0
1.832,-4.825,-0.040,0.526,0
17.014,-5.512,-0.027,0.661,0
-5.373,-5.059,0.005,0.686,0
8.467,-6.461,-0.015,0.533,0
-6.400,0.656,-0.003,0.490,0
0.469,-4.516,0.017,0.332,0
-14.043,-4.505,0.013,0.360,0
10.700,5.210,0.001,0.687,0
-9.512,-4.207,-0.037,0.325,0
-1.193,-5.537,0.021,0.487,0
18.917,-2.644,0.000,0.594,0
-1.217,7.179,-0.000,0.496,0
16.389,-7.131,0.007,0.308,0
13.790,-7.685,-0.004,0.555,0
0.089,5.740,-0.035,0.349,0
-14.625,5.971,0.024,0.495,0
-12.595,-3.396,-0.017,0.380,0
-3.107,-6.973,-0.029,0.447,0
-2.539,-2.540,0.023,0.694,0
10.742,4.393,0.001,0.302,0
9.785,0.558,0.010,0.360,0
-16.772,-1.497,-0.024,0.326,0
-5.301,6.394,0.009,0.683,0
-18.430,1.544,0.014,0.526,0
-10.897,-0.281,0.043,0.525,0
18.239,4.552,-0.014,0.348,0
-9.306,-6.078,-0.033,0.329,0
-15.626,-5.186,-0.023,0.480,0
7.397,-1.686,-0.012,0.676,0
-16.172,-2.029,0.048,0.654,0
16.622,0.669,-0.012,0.346,0
5.068,7.138,0.024,0.386,0
7.673,-1.294,0.011,0.412,0
2.118,-7.928,-0.019,0.556,0
-5.561,1.544,0.011,0.621,0
-18.785,-5.501,-0.006,0.474,0
-8.541,6.533,-0.018,0.401,0
-17.604,1.450,0.035,0.463,0
10.849,2.003,-0.019,0.471,0
-2.796,1.898,0.001,0.332,0
6.999,5.422,0.020,0.301,0
13.403,-5.367,-0.008,0.426,0
-8.174,-1.626,0.016,0.688,0
14.985,-1.148,0.003,0.482,0
-15.002,-2.986,-0.016,0.358,0
1.077,-7.951,0.039,0.304,0
11.096,-3.712,0.019,0.605,0
9.594,1.794,0.033,0.310,0
6.433,-1.469,0.019,0.527,0
2.605,5.185,0.004,0.683,0
-11.186,3.664,-0.003,0.692,0
-10.462,7.605,-0.030,0.453,0
-19.627,1.467,-0.007,0.378,0
-2.070,4.130,0.013,0.367,0
-9.386,-5.063,-0.011,0.566,0
-10.367,-7.231,-0.009,0.420,0
5.541,-4.052,0.012,0.334,0
-13.726,-2.637,0.012,0.577,0
-10.540,-6.988,-0.029,0.361,0
9.859,5.202,-0.019,0.558,0
-4.119,-4.175,-0.019,0.557,0
10.712,7.606,-0.025,0.428,0
-12.780,-0.412,0.017,0.660,0
-4.697,6.591,0.012,0.377,0
4.870,-2.344,0.024,0.592,0
3.281,1.415,-0.016,0.309,0
-8.159,1.005,-0.014,0.313,0
19.697,-0.848,-0.028,0.616,0
-4.408,1.863,0.043,0.499,0
5.546,-1.713,-0.001,0.370,0
-13.321,-5.805,-0.024,0.484,0
-13.063,7.897,-0.032,0.470,0
-19.450,-6.206,-0.014,0.300,0
-10.497,-3.952,-0.014,0.582,0
