x y z intensity
-39.668 0.099 0.366 0.396
-5.349 -5.181 1.493 0.789
-26.907 0.143 0.640 0.540
13.830 3.207 -0.018 0.220
-21.176 -4.392 1.044 0.597
-28.697 -4.988 0.275 0.655
37.451 0.753 1.035 0.876
-20.386 2.649 1.295 0.820
-34.602 -0.114 0.691 0.857
20.554 -1.314 1.461 0.304
20.008 0.905 1.134 0.446
-0.034 0.596 1.439 0.366
28.991 2.028 0.765 0.669
-34.315 -2.141 0.979 0.353
10.753 1.079 0.223 0.768
-32.995 -2.972 0.038 0.836
-34.407 -1.563 1.174 0.230
-17.145 2.276 0.640 0.710
-37.839 3.919 1.244 0.691
28.605 -0.820 0.913 0.383
-6.544 3.980 1.489 0.832
-38.754 4.090 0.088 0.296
21.595 1.420 1.480 0.782
13.375 -4.074 0.398 0.228
-12.646 4.650 0.064 0.433
-14.562 3.342 0.709 0.766
-18.058 -2.385 0.989 0.826
34.099 -4.493 0.013 0.255
29.153 -1.765 0.411 0.457
-25.498 1.749 1.268 0.485
19.837 2.496 0.774 0.333
-11.223 1.240 -0.089 0.276
-13.437 1.234 1.403 0.236
-14.108 4.977 0.217 0.496
-5.162 0.345 0.844 0.574
23.317 -2.295 0.681 0.425
3.768 2.411 0.064 0.460
20.317 2.933 1.492 0.812
-6.487 5.455 0.063 0.885
-28.114 2.219 0.359 0.836
-7.065 -3.438 0.144 0.779
34.830 2.312 0.670 0.457
5.630 -1.706 1.041 0.310
12.037 2.885 1.074 0.499
-20.017 4.526 0.632 0.612
-26.069 -0.874 0.693 0.406
-22.807 -1.650 1.244 0.217
25.024 -2.500 0.757 0.410
-30.624 -1.828 0.059 0.457
-28.688 -1.549 0.001 0.856
-9.466 0.830 0.895 0.372
-27.719 4.522 0.294 0.690
6.637 0.050 1.496 0.768
20.845 -4.446 1.001 0.757
-0.248 -3.126 0.203 0.875
22.864 -5.935 0.889 0.302
-21.302 0.051 0.444 0.550
36.193 0.287 -0.096 0.344
14.779 2.068 0.854 0.741
-9.032 -3.284 0.515 0.691
19.300 2.546 0.005 0.276
-35.947 2.305 0.796 0.310
12.996 -2.977 0.451 0.401
-22.783 -5.414 1.087 0.511
-37.749 -2.298 0.708 0.821
-31.848 5.301 0.816 0.448
-6.136 -3.574 0.805 0.470
37.451 -2.941 -0.053 0.482
15.598 1.075 0.195 0.658
-32.000 0.349 0.202 0.711
9.744 -2.629 0.313 0.408
-0.301 3.376 0.934 0.642
-3.385 -4.423 0.455 0.899
-32.812 3.159 0.517 0.551
-22.998 -4.304 1.076 0.449
18.474 3.270 0.081 0.641
-25.059 5.251 0.877 0.249
8.753 -0.187 0.698 0.804
-9.889 -3.440 1.395 0.316
-6.963 -0.314 0.665 0.216
27.866 1.115 0.780 0.607
-32.540 2.668 0.506 0.840
-18.262 -4.072 0.317 0.202
-12.373 -4.763 1.005 0.618
27.500 2.260 0.686 0.653
-7.407 1.185 0.170 0.289
0.894 4.466 0.579 0.355
10.126 4.322 0.545 0.850
-26.673 4.089 0.793 0.302
-29.094 1.851 0.786 0.704
4.923 -4.894 -0.083 0.480
-33.747 -3.378 1.393 0.842
-24.752 -3.536 0.953 0.733
-27.251 -4.075 0.775 0.479
7.662 -3.653 0.601 0.834
7.176 3.141 0.003 0.346
-19.226 1.854 0.469 0.629
-32.802 0.922 0.400 0.880
-37.149 3.695 1.265 0.408
-10.075 1.359 0.978 0.636
10.731 -2.486 0.473 0.597
9.621 -0.809 0.231 0.522
17.025 -3.109 -0.019 0.656
-6.143 -5.786 0.111 0.769
2.387 1.594 1.239 0.747
-34.726 -4.197 1.304 0.761
-28.256 -3.544 0.893 0.415
0.977 -2.777 1.200 0.236
-4.692 2.314 0.744 0.796
-24.804 1.813 0.381 0.635
-22.411 -1.261 0.661 0.581
12.235 -4.300 0.028 0.577
-7.518 -0.283 1.168 0.769
37.276 -1.517 1.377 0.325
-24.675 0.840 0.557 0.510
38.899 -3.386 1.369 0.571
3.196 -0.813 0.190 0.649
21.392 -2.642 0.613 0.383
-14.007 0.180 1.011 0.327
-7.488 4.845 -0.055 0.365
38.856 5.697 1.213 0.504
-11.415 5.618 0.865 0.631
12.468 -0.322 0.713 0.287
-18.726 3.892 1.316 0.388
-17.737 4.914 0.402 0.313
10.190 5.592 1.178 0.573
-36.783 -0.430 1.348 0.428
1.795 3.314 1.135 0.656
20.857 3.934 0.487 0.234
-6.948 -5.189 0.707 0.257
-6.150 2.689 0.764 0.494
-16.904 -5.926 0.410 0.471
23.574 5.443 0.452 0.645
29.717 5.276 0.754 0.606
11.979 -4.377 0.043 0.648
-20.903 -4.206 0.735 0.457
-19.170 0.402 0.068 0.499
19.802 3.866 1.095 0.850
5.316 -3.395 -0.036 0.446
5.933 2.004 0.513 0.303
24.132 1.634 0.040 0.486
31.289 5.913 0.033 0.885
-10.249 2.669 1.038 0.407
9.761 0.801 -0.029 0.215
-21.746 -1.330 1.392 0.364
1.982 5.702 1.155 0.609
-19.525 2.725 1.104 0.498
36.000 -4.473 0.698 0.457
38.036 5.460 0.317 0.811
17.007 4.732 0.563 0.496
0.468 1.004 0.411 0.514
27.240 4.238 1.187 0.244
-8.576 -1.614 0.371 0.868
-32.679 -1.936 1.479 0.601
3.730 2.647 0.503 0.548
-9.159 -3.353 1.335 0.326
18.848 -5.596 -0.085 0.641
18.021 1.184 0.246 0.200
-21.882 3.070 0.246 0.674
-1.509 -4.085 0.784 0.246
37.865 1.795 0.816 0.880
-13.587 0.867 0.664 0.548
-14.134 -3.497 1.382 0.720
-4.087 0.471 0.375 0.537
-37.901 -2.863 0.266 0.208
24.280 -0.245 0.053 0.469
-35.276 -0.353 0.862 0.449
29.370 4.339 1.121 0.299
-2.516 -3.235 0.818 0.730
-3.937 -5.175 -0.025 0.551
-0.188 -4.583 0.268 0.714
15.690 1.143 0.067 0.312
28.097 -0.501 0.173 0.672
-34.804 -1.973 0.097 0.815
2.683 -4.447 0.041 0.236
21.458 -2.664 0.056 0.296
35.335 -3.974 0.817 0.809
-0.002 -4.839 0.841 0.657
17.064 1.263 1.264 0.343
0.785 0.670 0.486 0.772
-16.812 4.762 1.193 0.277
20.807 5.161 0.198 0.663
36.562 0.585 0.261 0.872
-35.982 -3.574 1.083 0.236
-35.644 -5.444 1.188 0.730
4.227 1.010 0.466 0.563
21.015 -3.440 1.373 0.351
7.452 -2.343 0.231 0.720
-16.832 -2.082 1.265 0.402
20.965 1.821 0.631 0.591
12.685 -3.337 1.374 0.209
15.072 5.754 0.163 0.883
-9.238 4.555 0.203 0.428
20.701 -2.899 1.248 0.758
-9.726 2.745 0.015 0.713
-35.961 -1.971 0.133 0.462
7.829 1.465 -0.012 0.858
15.948 5.234 0.141 0.870
39.339 1.646 0.186 0.329
29.470 0.186 1.286 0.628
7.047 0.344 1.135 0.814
-26.051 -0.206 1.056 0.636
0.383 2.234 0.900 0.447
-34.587 -3.718 1.361 0.746
28.129 1.698 0.025 0.672
-12.441 -5.400 0.109 0.683
-27.011 4.549 0.381 0.488
39.897 0.720 0.197 0.699
0.636 3.573 1.146 0.803
-37.811 -4.378 1.493 0.761
6.370 3.577 1.093 0.792
32.294 2.470 0.058 0.803
34.181 0.840 1.329 0.576
-32.187 0.448 0.359 0.288
10.803 0.074 0.544 0.672
-32.917 -3.997 0.321 0.641
-16.597 1.475 0.443 0.749
-20.005 0.503 0.389 0.849
33.235 -3.148 0.046 0.311
-7.524 3.909 0.179 0.836
10.455 -2.650 1.401 0.584
23.573 -5.328 -0.004 0.872
-17.092 3.327 0.098 0.288
-19.999 0.890 0.683 0.272
-33.620 -1.459 0.890 0.848
-39.944 -3.084 0.665 0.566
31.346 -4.049 0.125 0.643
21.071 -0.550 0.569 0.782
9.388 3.189 0.691 0.856
20.013 0.938 0.310 0.475
-15.244 -5.213 1.282 0.832
-17.965 -4.884 0.670 0.896
8.306 -5.855 -0.027 0.503
-20.986 2.015 0.829 0.494
-10.973 -0.398 0.564 0.643
-7.598 4.577 1.446 0.690
37.036 -0.664 1.104 0.677
20.233 -4.462 1.177 0.624
28.396 -4.016 1.317 0.790
-35.761 -3.269 0.927 0.607
-22.476 -0.796 0.076 0.267
-0.382 2.407 1.055 0.756
1.668 0.767 -0.056 0.212
0.092 -3.205 1.157 0.480
11.544 -1.055 0.818 0.840
-3.465 4.153 0.500 0.773
5.071 -2.517 0.300 0.564
-18.195 -3.250 1.319 0.885
7.795 5.118 0.635 0.900
-1.205 5.490 1.376 0.484
32.227 3.542 0.427 0.877
-22.616 -3.460 0.301 0.480
-11.756 5.863 0.659 0.769
33.861 -5.830 1.465 0.612
-6.501 -2.784 0.730 0.231
23.023 -2.640 1.266 0.618
8.120 5.680 0.832 0.737
17.926 -3.297 1.299 0.596
1.100 -1.027 0.356 0.763
-0.769 0.466 1.160 0.409
31.780 -1.041 0.109 0.278
25.166 3.791 -0.024 0.873
32.383 -0.757 0.806 0.716
-36.136 0.275 0.782 0.739
-20.996 1.977 1.382 0.363
31.458 -2.337 0.121 0.875
-37.743 -2.729 -0.081 0.298
-12.687 2.743 1.239 0.817
12.050 -5.702 0.508 0.713
10.027 -3.931 0.995 0.846
31.414 2.749 0.105 0.831
-15.944 -0.878 0.740 0.423
4.609 0.450 1.345 0.846
-10.624 -2.906 1.248 0.536
-28.604 -2.070 1.095 0.690
7.528 -1.992 -0.081 0.267
-15.868 5.237 0.399 0.885
-9.529 -1.694 0.769 0.470
17.928 2.163 0.764 0.578
18.422 3.486 1.305 0.310
-35.603 -2.547 1.139 0.451
-33.644 -4.921 0.363 0.684
-27.817 4.199 1.187 0.737
-22.861 -3.506 0.325 0.506
39.452 -5.517 1.176 0.480
-3.986 -1.869 0.721 0.827
33.636 0.119 0.837 0.522
4.360 -3.216 0.545 0.272
24.400 5.818 1.072 0.638
-14.924 -3.759 1.388 0.453
-22.072 -5.959 0.581 0.382
15.394 3.372 0.679 0.602
12.617 3.235 0.699 0.468
-31.675 -4.555 0.677 0.214
27.082 0.806 1.438 0.553
-0.302 -0.836 0.862 0.503
16.886 -5.560 1.391 0.569
6.054 -1.100 1.226 0.809
29.192 5.261 0.542 0.650
14.015 3.588 0.449 0.328
-32.900 3.483 0.937 0.642
-8.125 0.410 1.348 0.654
-5.338 -4.305 0.260 0.744
-38.389 4.032 0.639 0.390
-17.427 5.504 0.989 0.272
2.880 1.612 1.157 0.357
21.332 0.285 0.827 0.799
-35.678 2.503 0.184 0.827
-25.694 2.941 0.850 0.510
3.359 3.600 1.266 0.863
14.300 -1.317 1.268 0.225
29.936 -2.763 0.394 0.510
39.838 4.965 0.660 0.479
14.438 -0.319 0.047 0.642
26.677 -4.785 1.109 0.898
-20.433 1.653 1.445 0.616
16.702 1.576 0.280 0.834
-17.162 -4.763 0.219 0.599
26.612 0.933 0.805 0.422
16.874 -3.126 0.054 0.209
23.207 -2.178 -0.041 0.861
-34.282 -0.984 -0.035 0.519
-0.807 5.009 1.484 0.491
-22.914 5.255 0.501 0.533
-10.627 5.107 0.698 0.531
25.002 -2.204 0.031 0.333
-10.442 -4.238 0.580 0.544
7.250 -3.157 0.180 0.492
-35.929 -1.628 1.176 0.281
17.280 -5.085 0.103 0.739
25.865 4.170 0.194 0.869
-11.043 -4.514 0.109 0.692
15.196 -3.275 0.025 0.314
7.995 4.567 1.015 0.840
6.377 0.828 1.489 0.332
26.686 -1.779 1.228 0.431
-37.971 3.544 0.948 0.611
8.448 2.296 0.907 0.624
18.606 1.210 0.603 0.605
38.752 3.752 0.199 0.774
-6.414 -0.712 0.647 0.381
-20.519 -3.480 0.674 0.482
29.313 -5.823 1.305 0.647
-30.076 0.341 0.396 0.778
2.845 -5.989 0.549 0.563
5.045 -3.233 0.145 0.747
7.447 -4.791 1.477 0.375
-4.441 -2.657 1.031 0.607
-8.339 4.867 1.391 0.491
-33.864 -3.901 1.234 0.346
3.023 4.545 0.737 0.414
-22.058 -0.866 1.092 0.210
-30.409 -5.934 0.366 0.288
-29.357 -0.379 1.104 0.777
-9.311 4.455 0.747 0.893
-14.271 4.806 1.099 0.865
-16.430 2.330 -0.038 0.386
-14.621 -5.783 1.378 0.424
-0.048 1.932 1.027 0.561
4.972 -4.650 1.064 0.543
-0.153 1.094 1.363 0.224
-7.262 -2.569 1.233 0.769
-16.662 -3.945 1.398 0.643
-11.561 -1.948 0.700 0.632
12.190 -5.489 -0.013 0.382
-6.474 3.221 0.412 0.576
24.878 -1.437 0.781 0.477
3.212 -2.901 1.250 0.279
30.426 5.972 1.453 0.234
-1.916 4.354 0.584 0.275
-31.775 -1.920 0.185 0.235
19.982 -0.506 0.698 0.559
-15.277 -3.570 1.498 0.230
18.910 -2.990 1.402 0.294
-36.491 5.814 1.353 0.747
-4.092 4.176 1.255 0.307
-39.002 4.822 0.217 0.275
22.047 5.477 0.698 0.431
-22.540 5.359 0.621 0.281
29.720 0.724 0.805 0.592
-23.586 1.015 1.212 0.700
34.208 0.070 0.554 0.578
-1.398 3.646 0.209 0.551
-26.808 -5.286 0.233 0.713
-35.810 1.897 0.733 0.508
-21.877 -3.394 0.769 0.625
-8.794 -3.623 0.894 0.532
-28.845 -2.360 1.193 0.536
3.391 -1.042 0.252 0.660
25.147 -2.516 0.810 0.277
-36.464 1.710 0.079 0.716
24.005 3.350 1.462 0.605
-3.804 2.294 0.757 0.405
-11.126 4.643 1.453 0.576
-8.233 5.335 0.376 0.440
-21.345 -3.170 1.463 0.724
-39.108 -3.149 1.253 0.820
-27.566 0.535 0.874 0.880
-19.101 -5.224 1.456 0.603
7.475 2.055 0.191 0.353
-23.632 2.485 0.884 0.843
-28.259 -1.108 0.629 0.770
-9.928 3.132 0.317 0.839
15.234 0.615 1.205 0.833
-7.342 -4.653 1.020 0.230
-19.440 1.122 1.146 0.600
-5.445 0.696 1.470 0.597
-38.731 -0.281 -0.092 0.776
-37.623 -2.243 0.363 0.718
-32.890 -4.712 0.321 0.877
-18.825 -3.477 0.288 0.835
-21.847 1.353 -0.028 0.609
-13.772 0.350 0.614 0.554
-17.947 1.965 0.421 0.888
9.233 -0.287 0.477 0.442
35.457 3.556 0.818 0.836
16.510 0.668 0.220 0.612
37.161 0.040 0.861 0.323
18.972 2.060 0.847 0.459
-33.621 -0.687 0.534 0.304
7.549 -1.142 0.240 0.470
28.272 -1.793 0.124 0.234
13.652 -0.437 1.088 0.873
18.844 -4.039 0.750 0.219
0.378 -2.869 0.076 0.612
37.814 5.652 1.289 0.793
19.042 -5.182 1.200 0.470
28.170 -1.387 0.481 0.894
-18.138 -2.735 0.646 0.608
-34.923 -4.255 0.805 0.377
15.276 1.930 1.427 0.579
22.243 1.444 0.229 0.379
-23.213 -0.621 0.867 0.411
20.560 -0.397 0.466 0.582
11.630 5.307 0.829 0.473
-16.854 2.205 0.234 0.429
-38.855 1.980 1.028 0.201
25.535 4.162 1.387 0.334
21.524 -0.697 0.111 0.577
-38.506 1.584 0.807 0.538
-25.914 -3.345 0.638 0.371
-39.297 -0.061 0.115 0.236
37.808 3.294 0.421 0.864
-9.839 -0.684 0.513 0.274
8.971 5.245 1.443 0.754
31.439 -4.312 1.193 0.758
4.266 -1.568 0.371 0.422
-18.237 -4.931 -0.099 0.583
21.187 -4.833 1.092 0.496
20.259 2.433 0.852 0.372
-33.218 -0.196 0.612 0.507
0.289 -4.948 0.442 0.881
-14.896 -2.855 -0.045 0.393
8.001 0.975 1.278 0.860
30.723 -2.673 1.402 0.249
-11.689 -2.261 0.919 0.874
31.748 1.360 0.905 0.577
-35.078 -4.494 1.496 0.355
-12.288 2.592 0.974 0.328
32.994 -2.798 1.187 0.522
4.072 4.261 0.104 0.268
-37.495 2.012 0.179 0.795
-26.743 5.365 0.141 0.419
-31.619 -5.904 0.865 0.299
32.108 1.529 1.225 0.581
-30.967 -3.118 1.285 0.216
-4.233 5.467 0.690 0.231
12.767 4.818 1.474 0.427
-19.028 1.123 1.104 0.775
-29.835 3.573 0.125 0.292
-14.285 5.262 0.933 0.353
5.041 -1.234 0.843 0.423
18.777 -2.993 1.035 0.806
11.106 -4.107 0.208 0.225
-9.103 5.793 0.086 0.387
18.809 0.760 0.508 0.624
20.620 -4.270 0.839 0.487
-33.478 -1.520 0.330 0.802
8.860 2.783 0.371 0.582
-11.770 0.688 1.080 0.241
37.236 -2.275 0.166 0.229
26.206 2.926 0.321 0.655
37.884 1.418 0.152 0.315
-20.477 -1.389 1.364 0.500
-10.993 -1.166 0.047 0.621
35.083 -4.007 0.428 0.878
-1.190 4.644 1.383 0.810
0.703 -4.678 0.208 0.374
19.303 -1.403 0.443 0.653
35.157 -1.755 0.442 0.817
-36.480 -5.858 0.864 0.725
10.152 -0.749 -0.008 0.883
4.453 3.753 1.471 0.607
7.612 3.804 0.069 0.871
18.768 3.457 1.355 0.693
-27.142 -3.348 1.104 0.556
-16.918 1.193 0.264 0.739
4.585 -0.188 1.241 0.834
-12.170 -1.591 1.240 0.554
29.548 0.390 0.311 0.262
11.195 5.102 1.055 0.673
-23.221 4.426 0.485 0.740
-24.095 2.788 0.384 0.463
11.049 4.774 0.403 0.708
-17.008 -5.338 0.688 0.234
2.450 -4.467 0.380 0.868
7.325 -1.178 1.165 0.878
8.811 0.048 -0.035 0.373
20.891 -1.491 1.340 0.575
3.812 1.468 1.238 0.627
-20.776 0.413 1.251 0.794
-6.607 -0.019 0.584 0.411
-12.628 -4.836 0.851 0.705
21.582 5.766 1.247 0.373
-29.744 1.658 0.121 0.658
34.183 2.155 0.370 0.770
-25.362 -2.936 0.880 0.208
-24.075 5.742 0.810 0.226
-21.310 -5.212 0.027 0.628
16.907 0.832 0.547 0.435
2.721 2.984 0.063 0.504
13.550 3.660 0.120 0.513
-28.309 1.106 0.857 0.481
34.658 -0.352 1.415 0.286
-27.833 -4.167 0.239 0.208
-25.260 -1.056 1.038 0.546
25.655 1.979 0.221 0.804
-0.673 0.577 1.271 0.569
-16.869 3.823 0.097 0.336
26.448 -2.408 1.125 0.802
9.149 -1.723 0.157 0.737
18.613 3.604 0.257 0.565
24.843 -5.797 0.714 0.866
-23.187 -4.455 0.872 0.522
-27.826 1.742 1.498 0.789
4.693 5.235 0.036 0.565
-36.274 3.251 1.067 0.560
-18.320 5.321 0.438 0.700
-6.919 2.833 0.580 0.684
39.101 -0.337 0.058 0.320
-4.793 4.101 1.221 0.863
-8.395 2.576 0.715 0.276
-28.081 -2.362 1.117 0.613
23.888 3.278 0.627 0.684
9.800 5.603 0.627 0.550
-18.547 5.732 0.999 0.314
-23.500 -1.878 0.250 0.382
36.262 3.230 0.031 0.431
39.632 1.757 0.061 0.520
-36.119 3.205 0.234 0.456
-23.872 1.926 1.336 0.232
22.187 -0.138 1.429 0.479
-12.620 5.635 0.515 0.288
-12.675 -2.080 0.351 0.460
-35.810 -1.629 0.193 0.674
36.726 0.484 1.184 0.654
-35.697 -1.299 -0.054 0.389
27.590 -5.742 0.627 0.267
-36.209 0.237 0.035 0.229
-3.453 1.067 1.226 0.808
10.991 1.006 0.110 0.282
3.706 -3.193 1.176 0.482
0.208 -5.043 0.106 0.657
39.429 -5.509 0.931 0.234
-6.594 2.526 1.435 0.533
-11.122 -0.370 1.057 0.214
-34.989 -2.557 -0.095 0.660
3.409 4.987 1.442 0.839
-33.226 -5.109 1.123 0.870
-38.393 -5.723 0.357 0.235
-21.524 5.083 0.051 0.830
23.283 5.947 1.053 0.619
-36.755 -1.317 0.400 0.734
-28.277 -5.074 0.905 0.786
-10.791 2.778 0.981 0.399
-23.246 -2.575 0.205 0.774
38.551 0.817 0.841 0.408
10.685 0.435 0.398 0.417
31.715 -4.961 0.949 0.291
-28.600 -3.458 0.115 0.391
36.803 -2.265 0.723 0.621
16.538 1.339 1.003 0.781
-16.995 5.290 0.424 0.305
36.123 -5.857 0.273 0.833
-30.060 4.940 0.049 0.347
33.898 4.029 0.115 0.510
-12.286 1.608 1.224 0.272
-30.059 -0.371 0.367 0.590
-31.112 4.154 0.010 0.549
35.652 -2.946 0.337 0.666
-12.782 5.124 0.213 0.439
2.454 4.220 0.625 0.648
7.210 0.780 1.359 0.895
24.332 -1.586 1.453 0.329
-35.793 1.630 1.154 0.688
-16.737 -0.919 0.769 0.551
13.799 2.834 0.589 0.761
-33.400 2.659 1.143 0.227
6.279 -1.431 0.491 0.890
30.451 -2.287 0.547 0.280
-19.738 1.830 -0.089 0.874
-0.798 -2.763 0.822 0.466
33.995 3.874 0.804 0.545
33.995 2.412 1.168 0.629
-24.066 -3.325 1.337 0.564
-13.931 3.019 0.473 0.488
-27.424 5.343 0.450 0.859
-19.171 -5.531 0.216 0.496
15.163 -0.834 0.154 0.399
15.454 3.679 1.030 0.855
-4.299 5.817 0.235 0.857
-25.166 4.230 1.152 0.698
-15.903 2.319 1.388 0.423
7.303 3.472 0.906 0.535
-25.919 -3.949 1.373 0.619
25.181 3.324 1.476 0.222
37.672 -3.738 0.190 0.470
31.149 2.762 0.570 0.372
-38.945 -0.928 1.360 0.513
-28.418 3.385 0.959 0.231
-5.281 -2.042 0.997 0.712
-31.135 5.026 0.132 0.807
14.766 -0.890 0.662 0.497
-3.657 -3.042 1.462 0.813
27.950 2.830 0.775 0.454
-13.720 -3.233 0.170 0.861
-27.733 5.857 1.396 0.316
-23.869 0.471 1.345 0.542
-14.223 -1.960 0.985 0.685
-31.142 1.320 0.806 0.734
23.419 -0.073 1.220 0.634
-3.604 1.929 0.276 0.838
29.637 2.297 1.499 0.562
-1.875 -0.316 0.782 0.359
1.908 3.089 0.585 0.385
0.033 5.691 1.422 0.469
16.562 2.707 0.203 0.383
3.636 5.896 0.637 0.645
21.868 -1.619 0.337 0.580
-12.512 -0.279 0.994 0.633
13.909 2.308 0.393 0.490
34.118 -0.472 0.339 0.295
-24.610 -3.118 0.621 0.837
-5.971 3.374 0.481 0.772
-20.700 -4.842 1.357 0.485
-25.411 2.326 0.022 0.348
-4.373 -2.337 1.126 0.740
23.056 3.344 -0.048 0.536
-26.103 -3.077 0.372 0.582
-9.001 1.234 1.131 0.621
-35.654 -1.561 0.146 0.374
-30.603 -1.774 -0.009 0.828
-17.774 4.008 1.499 0.316
-10.029 2.899 1.050 0.578
24.664 -2.978 0.358 0.831
-27.988 -4.558 0.710 0.872
24.324 2.219 0.550 0.446
-11.835 -0.058 0.124 0.512
-10.314 1.625 0.190 0.452
-12.504 2.395 0.289 0.474
-8.963 5.788 0.196 0.758
2.337 1.296 0.054 0.512
28.219 2.032 1.455 0.341
4.971 4.786 1.022 0.826
-5.612 5.165 1.356 0.401
33.903 0.885 1.472 0.535
22.871 4.969 1.140 0.267
16.714 0.501 0.731 0.889
-3.582 -1.009 0.438 0.841
37.224 -3.056 0.382 0.544
-34.847 0.292 0.751 0.290
20.341 5.879 0.589 0.803
-3.018 -5.579 0.819 0.668
-6.655 3.831 1.106 0.312
38.463 -2.005 0.517 0.487
38.248 5.394 0.390 0.336
31.867 0.449 0.504 0.786
0.806 -2.124 0.126 0.755
-2.207 1.060 0.405 0.226
-29.070 5.779 0.728 0.737
-13.503 0.430 0.099 0.777
